airfoil,max_camber,camber_pos,max_thickness,le_radius,te_angle_deg,thickness_25,thickness_50,thickness_75,alpha_deg,log10_Re,n_crit,CL,CD,CM
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,-6.0,5.0,5.0,-0.6413160212530379,0.022019397598681496,-0.005642230650567483
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,-4.666666666666667,5.0,5.0,-0.5173682536642576,0.0171964275241854,-0.0014093969964654584
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,-3.3333333333333335,5.0,5.0,-0.40032154554301086,0.012743528023224792,0.003145452739815207
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,-2.0,5.0,5.0,-0.2797685331618873,0.01149114766253757,0.011462076454224502
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,-0.666666666666667,5.0,5.0,-0.09490424140068568,0.011718054648414135,0.0045194146906585644
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,0.6666666666666661,5.0,5.0,0.09490424140068582,0.011718054648414125,-0.004519414690658521
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,2.0,5.0,5.0,0.2797685331618878,0.01149114766253756,-0.011462076454224557
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,3.333333333333332,5.0,5.0,0.40032154554301136,0.01274352802322478,-0.003145452739815066
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,4.666666666666666,5.0,5.0,0.5173682536642571,0.0171964275241854,0.0014093969964653987
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,6.0,5.0,5.0,0.6413160212530377,0.022019397598681437,0.005642230650567419
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,7.333333333333332,5.0,5.0,0.7577357979709864,0.030312312420818895,0.01074985166154389
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,8.666666666666666,5.0,5.0,0.8363745255820989,0.045057570378427385,0.015142847190712927
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,10.0,5.0,5.0,0.7537137294001091,0.08148410437770834,0.00569866042091508
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,-6.0,5.0,9.0,-0.6457702371720464,0.026140332165324555,-0.007681005264070171
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,-4.666666666666667,5.0,9.0,-0.5203888812223877,0.01787769255644181,-0.0025467628271321845
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,-3.3333333333333335,5.0,9.0,-0.4147443651900468,0.012324313201091801,0.007561534250228974
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,-2.0,5.0,9.0,-0.21666244132297602,0.012268097301823551,0.0017211412311547158
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,-0.666666666666667,5.0,9.0,-0.04581202510065491,0.01171948664912634,-0.0038992393961706172
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,0.6666666666666661,5.0,9.0,0.04581202510065524,0.01171948664912633,0.00389923939617052
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,2.0,5.0,9.0,0.21666244132297602,0.012268097301823551,-0.0017211412311548152
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,3.333333333333332,5.0,9.0,0.4147443651900464,0.012324313201091801,-0.007561534250228966
